Zupanija,Tip jedinice,Ime jedinice
I ZAGREBA?KA,Op?ina,Bedenica
I ZAGREBA?KA,Op?ina,Bistra
I ZAGREBA?KA,Op?ina,Brckovljani
I ZAGREBA?KA,Op?ina,Brdovec
I ZAGREBA?KA,Op?ina,Dubrava
I ZAGREBA?KA,Op?ina,Dubravica
I ZAGREBA?KA,Grad,Dugo Selo
I ZAGREBA?KA,Op?ina,Farkaševac
I ZAGREBA?KA,Op?ina,Gradec
I ZAGREBA?KA,Grad,Ivani?-Grad
I ZAGREBA?KA,Op?ina,Jakovlje
I ZAGREBA?KA,Grad,Jastrebarsko
I ZAGREBA?KA,Op?ina,Klin?a Sela
I ZAGREBA?KA,Op?ina,Kloštar Ivani?
I ZAGREBA?KA,Op?ina,Kraši?
I ZAGREBA?KA,Op?ina,Kravarsko
I ZAGREBA?KA,Op?ina,Križ
I ZAGREBA?KA,Op?ina,Luka
I ZAGREBA?KA,Op?ina,Marija Gorica
I ZAGREBA?KA,Op?ina,Orle
I ZAGREBA?KA,Op?ina,Pisarovina
I ZAGREBA?KA,Op?ina,Pokupsko
I ZAGREBA?KA,Op?ina,Preseka
I ZAGREBA?KA,Op?ina,Puš?a
I ZAGREBA?KA,Op?ina,Rakovec
I ZAGREBA?KA,Op?ina,Rugvica
I ZAGREBA?KA,Grad,Samobor
I ZAGREBA?KA,Op?ina,Stupnik
I ZAGREBA?KA,Grad,Sveta Nedelja
I ZAGREBA?KA,Grad,Sveti Ivan Zelina
I ZAGREBA?KA,Grad,Velika Gorica
I ZAGREBA?KA,Grad,Vrbovec
I ZAGREBA?KA,Grad,Zapreši?
I ZAGREBA?KA,Op?ina,Žumberak
II KRAPINSKO-ZAGORSKA,Op?ina,Bedekov?ina
II KRAPINSKO-ZAGORSKA,Op?ina,Budinš?ina
II KRAPINSKO-ZAGORSKA,Op?ina,Desini?
II KRAPINSKO-ZAGORSKA,Grad,Donja Stubica
II KRAPINSKO-ZAGORSKA,Op?ina,?urmanec
II KRAPINSKO-ZAGORSKA,Op?ina,Gornja Stubica
II KRAPINSKO-ZAGORSKA,Op?ina,Hraš?ina
II KRAPINSKO-ZAGORSKA,Op?ina,Hum na Sutli
II KRAPINSKO-ZAGORSKA,Op?ina,Jesenje
II KRAPINSKO-ZAGORSKA,Grad,Klanjec
II KRAPINSKO-ZAGORSKA,Op?ina,Konjš?ina
II KRAPINSKO-ZAGORSKA,Op?ina,Kraljevec na Sutli
II KRAPINSKO-ZAGORSKA,Grad,Krapina
II KRAPINSKO-ZAGORSKA,Op?ina,Krapinske Toplice
II KRAPINSKO-ZAGORSKA,Op?ina,Kumrovec
II KRAPINSKO-ZAGORSKA,Op?ina,Lobor
II KRAPINSKO-ZAGORSKA,Op?ina,Ma?e
II KRAPINSKO-ZAGORSKA,Op?ina,Marija Bistrica
II KRAPINSKO-ZAGORSKA,Op?ina,Mihovljan
II KRAPINSKO-ZAGORSKA,Op?ina,Novi Golubovec
II KRAPINSKO-ZAGORSKA,Grad,Oroslavje
II KRAPINSKO-ZAGORSKA,Op?ina,Petrovsko
II KRAPINSKO-ZAGORSKA,Grad,Pregrada
II KRAPINSKO-ZAGORSKA,Op?ina,Radoboj
II KRAPINSKO-ZAGORSKA,Op?ina,Stubi?ke Toplice
II KRAPINSKO-ZAGORSKA,Op?ina,Sveti Križ Za?retje
II KRAPINSKO-ZAGORSKA,Op?ina,Tuhelj
II KRAPINSKO-ZAGORSKA,Op?ina,Veliko Trgoviš?e
II KRAPINSKO-ZAGORSKA,Grad,Zabok
II KRAPINSKO-ZAGORSKA,Op?ina,Zagorska Sela
II KRAPINSKO-ZAGORSKA,Grad,Zlatar
II KRAPINSKO-ZAGORSKA,Op?ina,Zlatar Bistrica
III SISA?KO-MOSLAVA?KA,Op?ina,Donji Kukuruzari
III SISA?KO-MOSLAVA?KA,Op?ina,Dvor
III SISA?KO-MOSLAVA?KA,Grad,Glina
III SISA?KO-MOSLAVA?KA,Op?ina,Gvozd
III SISA?KO-MOSLAVA?KA,Op?ina,Hrvatska Dubica
III SISA?KO-MOSLAVA?KA,Grad,Hrvatska Kostajnica
III SISA?KO-MOSLAVA?KA,Op?ina,Jasenovac
III SISA?KO-MOSLAVA?KA,Grad,Kutina
III SISA?KO-MOSLAVA?KA,Op?ina,Lekenik
III SISA?KO-MOSLAVA?KA,Op?ina,Lipovljani
III SISA?KO-MOSLAVA?KA,Op?ina,Majur
III SISA?KO-MOSLAVA?KA,Op?ina,Martinska Ves
III SISA?KO-MOSLAVA?KA,Grad,Novska
III SISA?KO-MOSLAVA?KA,Grad,Petrinja
III SISA?KO-MOSLAVA?KA,Grad,Popova?a
III SISA?KO-MOSLAVA?KA,Grad,Sisak
III SISA?KO-MOSLAVA?KA,Op?ina,Sunja
III SISA?KO-MOSLAVA?KA,Op?ina,Topusko
III SISA?KO-MOSLAVA?KA,Op?ina,Velika Ludina
IV KARLOVA?KA,Op?ina,Barilovi?
IV KARLOVA?KA,Op?ina,Bosiljevo
IV KARLOVA?KA,Op?ina,Cetingrad
IV KARLOVA?KA,Op?ina,Dragani?
IV KARLOVA?KA,Op?ina,Generalski Stol
IV KARLOVA?KA,Op?ina,Josipdol
IV KARLOVA?KA,Op?ina,Kamanje
IV KARLOVA?KA,Op?ina,Krnjak
IV KARLOVA?KA,Op?ina,Lasinja
IV KARLOVA?KA,Op?ina,Netreti?
IV KARLOVA?KA,Op?ina,Plaški
IV KARLOVA?KA,Op?ina,Rakovica
IV KARLOVA?KA,Op?ina,Ribnik
IV KARLOVA?KA,Op?ina,Saborsko
IV KARLOVA?KA,Op?ina,Tounj
IV KARLOVA?KA,Op?ina,Vojni?
IV KARLOVA?KA,Op?ina,Žakanje
IV KARLOVA?KA,Grad,Duga Resa
IV KARLOVA?KA,Grad,Karlovac
IV KARLOVA?KA,Grad,Ogulin
IV KARLOVA?KA,Grad,Ozalj
IV KARLOVA?KA,Grad,Slunj
IX LI?KO-SENJSKA,Op?ina,Brinje
IX LI?KO-SENJSKA,Op?ina,Donji Lapac
IX LI?KO-SENJSKA,Grad,Gospi?
IX LI?KO-SENJSKA,Op?ina,Karlobag
IX LI?KO-SENJSKA,Op?ina,Lovinac
IX LI?KO-SENJSKA,Grad,Novalja
IX LI?KO-SENJSKA,Grad,Oto?ac
IX LI?KO-SENJSKA,Op?ina,Peruši?
IX LI?KO-SENJSKA,Op?ina,Plitvi?ka Jezera
IX LI?KO-SENJSKA,Grad,Senj
IX LI?KO-SENJSKA,Op?ina,Udbina
IX LI?KO-SENJSKA,Op?ina,Vrhovine
V VARAŽDINSKA,Op?ina,Bednja
V VARAŽDINSKA,Op?ina,Beretinec
V VARAŽDINSKA,Op?ina,Breznica
V VARAŽDINSKA,Op?ina,Brezni?ki Hum
V VARAŽDINSKA,Op?ina,Cestica
V VARAŽDINSKA,Op?ina,Donja Vo?a
V VARAŽDINSKA,Op?ina,Gornji Kneginec
V VARAŽDINSKA,Op?ina,Jalžabet
V VARAŽDINSKA,Grad,Ivanec
V VARAŽDINSKA,Op?ina,Klenovnik
V VARAŽDINSKA,Op?ina,Ljubeš?ica
V VARAŽDINSKA,Grad,Lepoglava
V VARAŽDINSKA,Grad,Ludbreg
V VARAŽDINSKA,Op?ina,Mali Bukovec
V VARAŽDINSKA,Op?ina,Martijanec
V VARAŽDINSKA,Op?ina,Maruševec
V VARAŽDINSKA,Grad,Novi Marof
V VARAŽDINSKA,Op?ina,Petrijanec
V VARAŽDINSKA,Op?ina,Sra?inec
V VARAŽDINSKA,Op?ina,Sveti ?ur?
V VARAŽDINSKA,Op?ina,Sveti Ilija
V VARAŽDINSKA,Op?ina,Trnovec Bartolove?ki
V VARAŽDINSKA,Grad,Varaždin
V VARAŽDINSKA,Grad,Varaždinske Toplice
V VARAŽDINSKA,Op?ina,Veliki Bukovec
V VARAŽDINSKA,Op?ina,Vidovec
V VARAŽDINSKA,Op?ina,Vinica
V VARAŽDINSKA,Op?ina,Visoko
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Drnje
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,?elekovec
VI KOPRIVNI?KO-KRIŽEVA?KA,Grad,?ur?evac
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Ferdinandovac
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Gola
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Gornja Rijeka
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Hlebine
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Kalinovac
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Kalnik
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Kloštar Podravski
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Koprivni?ki Bregi
VI KOPRIVNI?KO-KRIŽEVA?KA,Grad,Koprivnica
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Koprivni?ki Ivanec
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Legrad
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Molve
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Novigrad Podravski
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Novo Virje
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Peteranec
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Podravske Sesvete
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Rasinja
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Sokolovac
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Sveti Ivan Žabno
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Sveti Petar Orehovec
VI KOPRIVNI?KO-KRIŽEVA?KA,Op?ina,Virje
VI KOPRIVNI?KO-KRIŽEVA?KA,Grad,Križevci
VII BJELOVARSKO-BILOGORSKA,Op?ina,Berek
VII BJELOVARSKO-BILOGORSKA,Grad,Bjelovar
VII BJELOVARSKO-BILOGORSKA,Grad,?azma
VII BJELOVARSKO-BILOGORSKA,Grad,Daruvar
VII BJELOVARSKO-BILOGORSKA,Op?ina,Dežanovac
VII BJELOVARSKO-BILOGORSKA,Op?ina,?ulovac
VII BJELOVARSKO-BILOGORSKA,Grad,Garešnica
VII BJELOVARSKO-BILOGORSKA,Grad,Grubišno Polje
VII BJELOVARSKO-BILOGORSKA,Op?ina,Hercegovac
VII BJELOVARSKO-BILOGORSKA,Op?ina,Ivanska
VII BJELOVARSKO-BILOGORSKA,Op?ina,Kapela
VII BJELOVARSKO-BILOGORSKA,Op?ina,Kon?anica
VII BJELOVARSKO-BILOGORSKA,Op?ina,Nova Ra?a
VII BJELOVARSKO-BILOGORSKA,Op?ina,Roviš?e
VII BJELOVARSKO-BILOGORSKA,Op?ina,Severin
VII BJELOVARSKO-BILOGORSKA,Op?ina,Sira?
VII BJELOVARSKO-BILOGORSKA,Op?ina,Šandrovac
VII BJELOVARSKO-BILOGORSKA,Op?ina,Štefanje
VII BJELOVARSKO-BILOGORSKA,Op?ina,Velika Pisanica
VII BJELOVARSKO-BILOGORSKA,Op?ina,Velika Trnovitica
VII BJELOVARSKO-BILOGORSKA,Op?ina,Veliki Gr?evac
VII BJELOVARSKO-BILOGORSKA,Op?ina,Veliko Trojstvo
VII BJELOVARSKO-BILOGORSKA,Op?ina,Zrinski Topolovac
VIII PRIMORSKO-GORANSKA,Grad,Bakar
VIII PRIMORSKO-GORANSKA,Op?ina,Baška
VIII PRIMORSKO-GORANSKA,Op?ina,Brod Moravice
VIII PRIMORSKO-GORANSKA,Grad,Cres
VIII PRIMORSKO-GORANSKA,Grad,Crikvenica
VIII PRIMORSKO-GORANSKA,Grad,?abar
VIII PRIMORSKO-GORANSKA,Op?ina,?avle
VIII PRIMORSKO-GORANSKA,Grad,Delnice
VIII PRIMORSKO-GORANSKA,Op?ina,Dobrinj
VIII PRIMORSKO-GORANSKA,Op?ina,Fužine
VIII PRIMORSKO-GORANSKA,Op?ina,Jelenje
VIII PRIMORSKO-GORANSKA,Grad,Kastav
VIII PRIMORSKO-GORANSKA,Op?ina,Klana
VIII PRIMORSKO-GORANSKA,Op?ina,Kostrena
VIII PRIMORSKO-GORANSKA,Grad,Kraljevica
VIII PRIMORSKO-GORANSKA,Grad,Krk
VIII PRIMORSKO-GORANSKA,Op?ina,Lokve
VIII PRIMORSKO-GORANSKA,Op?ina,Lopar
VIII PRIMORSKO-GORANSKA,Op?ina,Lovran
VIII PRIMORSKO-GORANSKA,Grad,Mali Lošinj
VIII PRIMORSKO-GORANSKA,Op?ina,Malinska-Dubašnica
VIII PRIMORSKO-GORANSKA,Op?ina,Matulji
VIII PRIMORSKO-GORANSKA,Op?ina,Moš?eni?ka Draga
VIII PRIMORSKO-GORANSKA,Op?ina,Mrkopalj
VIII PRIMORSKO-GORANSKA,Grad,Novi Vinodolski
VIII PRIMORSKO-GORANSKA,Op?ina,Omišalj
VIII PRIMORSKO-GORANSKA,Grad,Opatija
VIII PRIMORSKO-GORANSKA,Op?ina,Punat
VIII PRIMORSKO-GORANSKA,Grad,Rab
VIII PRIMORSKO-GORANSKA,Op?ina,Ravna Gora
VIII PRIMORSKO-GORANSKA,Grad,Rijeka
VIII PRIMORSKO-GORANSKA,Op?ina,Skrad
VIII PRIMORSKO-GORANSKA,Op?ina,Vinodolska op?ina
VIII PRIMORSKO-GORANSKA,Op?ina,Viškovo
VIII PRIMORSKO-GORANSKA,Op?ina,Vrbnik
VIII PRIMORSKO-GORANSKA,Grad,Vrbovsko
X VIROVITI?KO-PODRAVSKA,Op?ina,Crnac
X VIROVITI?KO-PODRAVSKA,Op?ina,?a?inci
X VIROVITI?KO-PODRAVSKA,Op?ina,?a?avica
X VIROVITI?KO-PODRAVSKA,Op?ina,Gradina
X VIROVITI?KO-PODRAVSKA,Op?ina,Luka?
X VIROVITI?KO-PODRAVSKA,Op?ina,Mikleuš
X VIROVITI?KO-PODRAVSKA,Op?ina,Nova Bukovica
X VIROVITI?KO-PODRAVSKA,Grad,Orahovica
X VIROVITI?KO-PODRAVSKA,Op?ina,Pitoma?a
X VIROVITI?KO-PODRAVSKA,Grad,Slatina
X VIROVITI?KO-PODRAVSKA,Op?ina,Sopje
X VIROVITI?KO-PODRAVSKA,Op?ina,Suhopolje
X VIROVITI?KO-PODRAVSKA,Op?ina,Špiši? Bukovica
X VIROVITI?KO-PODRAVSKA,Grad,Virovitica
X VIROVITI?KO-PODRAVSKA,Op?ina,Vo?in
X VIROVITI?KO-PODRAVSKA,Op?ina,Zdenci
XI POŽEŠKO-SLAVONSKA,Op?ina,Brestovac
XI POŽEŠKO-SLAVONSKA,Op?ina,?aglin
XI POŽEŠKO-SLAVONSKA,Op?ina,Jakši?
XI POŽEŠKO-SLAVONSKA,Op?ina,Kaptol
XI POŽEŠKO-SLAVONSKA,Grad,Kutjevo
XI POŽEŠKO-SLAVONSKA,Grad,Lipik
XI POŽEŠKO-SLAVONSKA,Grad,Pakrac
XI POŽEŠKO-SLAVONSKA,Grad,Pleternica
XI POŽEŠKO-SLAVONSKA,Grad,Požega
XI POŽEŠKO-SLAVONSKA,Op?ina,Velika
XII BRODSKO-POSAVSKA,Op?ina,Bebrina
XII BRODSKO-POSAVSKA,Op?ina,Brodski Stupnik
XII BRODSKO-POSAVSKA,Op?ina,Bukovlje
XII BRODSKO-POSAVSKA,Op?ina,Cernik
XII BRODSKO-POSAVSKA,Op?ina,Davor
XII BRODSKO-POSAVSKA,Op?ina,Donji Andrijevci
XII BRODSKO-POSAVSKA,Op?ina,Dragali?
XII BRODSKO-POSAVSKA,Op?ina,Gar?in
XII BRODSKO-POSAVSKA,Op?ina,Gornja Vrba
XII BRODSKO-POSAVSKA,Op?ina,Gornji Bogi?evci
XII BRODSKO-POSAVSKA,Op?ina,Gundinci
XII BRODSKO-POSAVSKA,Op?ina,Klakar
XII BRODSKO-POSAVSKA,Grad,Nova Gradiška
XII BRODSKO-POSAVSKA,Op?ina,Nova Kapela
XII BRODSKO-POSAVSKA,Op?ina,Oku?ani
XII BRODSKO-POSAVSKA,Op?ina,Oprisavci
XII BRODSKO-POSAVSKA,Op?ina,Oriovac
XII BRODSKO-POSAVSKA,Op?ina,Podcrkavlje
XII BRODSKO-POSAVSKA,Op?ina,Rešetari
XII BRODSKO-POSAVSKA,Op?ina,Sibinj
